revenue,profit,total_assets,taxes
8360736,262005,44434472,78601
4501547,616474,10028015,123294
443611,922012,99582619,239723
4952658,962069,17018149,240517
233184,847454,46051505,254236
1921776,866532,90851822,103983
5734436,639818,72169394,44787
739347,274020,41441156,32882
8422239,64248,23343645,18631
2019968,633059,78524241,31652
5002680,128561,61035362,37282
4140648,480830,34169717,28849
1283032,735302,22940876,205884
1762886,719703,20736960,165531
8394655,217076,46947347,26049
166090,968351,76334851,125885
9820439,297513,77979200,38676
6291908,420240,55655094,105060
6481542,493487,24476443,78957
4248764,32801,56829488,2624
1148578,324686,2886228,51949
6193418,918226,30073671,174462
4059697,984103,77099506,246025
2343952,495075,85447349,133670
4518089,251140,56612535,52739
7732920,630580,6933703,132421
4972444,968601,89036323,290580
8002441,600798,43058606,102135
752738,318747,78101950,31874
5328314,850013,92799648,59500
7040036,374004,22080570,82280
6282119,46737,46160994,5141
7178698,559693,38672679,44775
8979111,867889,48942829,190935
6748647,582515,41326540,168929
6173819,316546,91809472,41150
7419250,735091,45216867,161720
5687096,30396,46168989,3951
3216001,740357,83236463,111053
7364784,197267,82258568,47344
130495,949230,39540023,94923
8459054,275464,72475407,57847
9084460,61577,61586023,12931
3965488,232168,44037029,11608
1105987,35690,23753663,3569
8737911,226836,39376579,15878
2325211,762574,19728946,53380
3904716,827901,4017278,215254
8883574,769634,96070371,107748
3347079,109427,38710258,9848
4456109,274705,72964329,35711
4517978,187836,96285589,24418
3359677,76473,96726362,22177
7425491,989421,7304508,98942
6288647,975247,61936111,263316
2441048,928798,91965242,120743
3578642,330126,65880583,82531
5622011,498722,80834410,49872
5429162,766297,37206716,45977
2336271,343074,74095413,61753
2856903,751734,9872942,52621
9237879,582379,64008248,64061
827781,846771,74895307,110080
9667694,754038,94835223,196049
2504051,480488,45119643,28829
1289571,365945,8902938,73189
913147,162386,77744173,37348
9596237,824444,5451243,74199
216275,808627,61099155,153639
6122982,992107,26893507,287711
2829893,540790,46040696,27039
3106649,652955,67231492,195886
3656429,500025,60951906,80004
7392966,869949,22228803,43497
6255189,424713,85575825,93436
6568473,26778,87284366,2945
1605851,64932,12818248,11038
9645702,165243,42260352,39658
156892,380625,6483805,91350
2518595,314258,94717352,34568
9076262,80374,52381077,15271
8117367,631987,92050204,126397
3253708,931013,43880119,83791
8121959,998436,83598603,89859
4165120,582791,9373910,151525
6586930,964076,38933267,77126
1392715,14032,70259673,1824
3001571,42957,25322739,8161
1815493,87252,55114445,4362
2590300,308152,37171678,92445
9817001,106694,54748709,29874
8447153,197159,66142334,53232
8622030,334818,80441850,56919
4634949,928010,93627893,102081
7763267,152381,33075408,22857
4639651,738664,17592135,73866
2211643,95755,20200863,19151
9557593,492243,1745168,54146
9583604,374157,34315253,18707
9556657,552840,37025374,127153
9425632,627042,77550900,181842
5737510,741365,63116013,170513
2644548,398730,83434224,71771
6934153,280359,58772856,75696
3286194,864725,67736432,207534
7645270,614143,41182738,73697
7485896,595287,58268333,125010
9335284,317771,31122280,19066
2437635,983497,83189620,88514
4293947,841155,73557954,126173
5971210,747208,33118752,119553
9503348,190396,65097856,53310
7113802,105395,38608858,31618
4913770,637862,3884413,44650
9127321,563749,55402015,90199
5890205,338761,67972252,84690
3501981,581386,44265471,46510
5610343,315990,7740994,91637
2428324,928248,17684741,139237
7105048,891237,60145711,213896
340257,313169,9369482,78292
6263033,241463,31217731,28975
3374481,748937,3653308,134808
7316484,753005,82365180,195781
7191014,677323,51168947,142237
6316538,493942,56619481,123485
1213900,625204,85091135,37512
6244731,631139,74238866,107293
5721533,39662,17284219,1983
9581061,91887,33530891,17458
8428734,857425,60677226,248653
6784271,960143,12477379,124818
3421979,839557,92096525,50373
4352484,463537,27330235,23176
7806831,443523,22110907,97575
3995035,717535,65560931,193734
7728508,615392,34661334,80000
6102891,18744,22297167,2811
1617834,664589,23146255,79750
6980909,955093,64933929,57305
172480,955208,65522472,267458
4659968,390097,28840731,66316
6855973,957505,98714646,239376
1347629,218898,53013219,28456
5647570,941404,30491504,65898
6335725,572380,58569167,80133
2184514,506899,67426551,30413
5916123,990804,56931382,49540
4447505,700695,75295702,112111
1330844,41770,6219455,5430
1629515,545286,11513876,136321
9171562,73527,63560340,17646
7147114,612259,5291245,30612
6915097,524405,6337752,110125
8749547,470693,76783503,65897
8460796,629165,18296378,150999
9902202,456836,75819429,68525
191275,186708,6946683,9335
5068803,448039,30367402,89607
8616274,288554,57743052,43283
9803819,798844,64670201,111838
2800105,950505,16690146,142575
4538993,881176,93836241,246729
2048718,866210,30093723,138593
4209408,116810,40883585,24530
5435875,248985,33437281,29878
3836509,429740,15810528,60163
8378716,604714,37751523,163272
1494898,398999,9809593,87779
5197026,383649,90479987,57547
6004178,807431,92750020,234154
9870884,976350,35978427,165979
3586814,43608,28000607,3488
7363733,359022,23156601,96935
1100249,11212,82255081,1906
4693716,492561,71968514,108363
2681035,51882,95334850,9857
3951605,309971,28021628,43395
6966357,738073,91755753,140233
6561379,546822,23534682,87491
9166437,455381,72680593,104737
6345694,821090,92741627,98530
478033,122252,64475769,33008
3557958,479499,56391090,100694
7423737,985891,34969948,276049
3678723,441591,29120069,114813
8638410,136929,2590230,41078
2469909,308036,28982782,73928
4847218,342613,16812600,47965
9607668,151548,56798429,16670
6474615,11725,61107678,3517
1110305,733024,63639561,205246
4605582,435513,60157851,95812
8944312,796540,69809915,55757
9847038,575258,31909051,46020
8494994,585184,16403212,35111
478409,878573,38487496,43928
5332328,822716,4698861,164543
8815610,553027,44163948,138256
8522713,946101,71017470,141915
6735776,97945,21490758,11753
4557524,64869,49699404,8432
8710276,223411,48852469,64789
1865783,220482,49153424,59530
2975742,568250,66251552,125015
4574011,666618,11210380,99992
8144865,343208,30916259,20592
300161,205385,67780342,57507
2692344,779404,7023332,70146
1045649,291235,23282032,61159
789669,443762,84388515,79877
9351594,703177,36074731,49222
5825311,85007,4836341,23801
5071786,740234,54328067,44414
4930718,440635,40479954,44063
7513614,727641,87201924,174633
1182252,546407,46127926,142065
1582245,540107,52218067,129625
2013441,276255,3455666,66301
6878956,575374,57007334,69044
3493851,880227,17506715,70418
8649201,111181,14363607,30018
431750,584136,22170197,146034
9128533,447640,34946093,116386
967136,754950,38074608,45297
9229477,785027,35983325,235508
3810203,339088,1599096,71208
8933778,857844,36401419,257353
415961,954985,93213195,257845
3098994,96009,84813396,25922
778596,748845,29221209,82372
3078861,800325,93567020,176071
5239203,862710,40004852,94898
5893345,817322,76501577,130771
2408683,475459,92270585,128373
6540151,704592,4273803,162056
3352066,833987,59306149,175137
8841643,542990,56077901,152037
5388130,842846,77893049,151712
876059,143660,58612906,14366
5506723,454436,27305782,113609
6429459,101586,58748933,26412
6322157,148873,69986720,16376
5432822,91120,71536246,23691
416862,691133,11471887,103669
4546383,537166,37798708,139663
3732354,701618,89595133,77177
7548399,168355,5971425,40405
3720937,892434,71601614,178486
7283389,462998,63925634,23149
8432480,894077,85171305,98348
674906,424435,91498484,59420
6067982,560934,76237206,89749
5882714,665080,20071701,152968
7403145,523916,4151809,41913
4145185,768338,50110034,138300
8532432,661752,30638383,92645
1370655,899300,81366725,80937
4496597,59308,55228162,12454
5705890,550094,83799921,71512
8733062,625943,12300686,106410
9431755,833826,79414230,200118
6940807,175062,36237741,24508
4003730,805393,93086716,217456
230639,795473,8355264,135230
9381922,213360,36158485,61874
6084459,593973,38485030,95035
8283588,242130,86036208,55689
6972424,263952,87974349,26395
8494381,66887,4589804,17390
6786790,146296,75281626,16092
7961384,632743,5634091,82256
1230934,115877,3505034,32445
9442147,59864,10568817,8979
6677392,842540,48547433,134806
7581013,54548,30496417,3272
6456847,782776,84802780,187866
5531514,338158,86900090,16907
7274377,303923,87345858,45588
4229577,967825,54866495,212921
1579039,928320,69204340,92832
6818052,747734,43297900,52341
7372139,619222,91768864,80498
2324432,724852,9244703,101479
4161993,506730,16468194,25336
6968905,142115,38963640,35528
8711676,17640,43267880,4410
6108353,580640,87891818,29032
4254702,288520,86811200,37507
4053510,466401,35675622,93280
3307454,731298,31487452,124320
8806234,318375,16226564,50940
5368962,825441,46207287,132070
2923985,621783,21361434,180317
6503636,311517,70353934,84109
7765772,256270,15725397,56379
5753352,301204,36942015,27108
517376,579331,10668937,127452
4253865,189361,54907490,26510
4660903,837892,33724872,142441
7115043,859394,97875558,77345
6702495,400688,31856097,52089
9357676,649555,3071423,162388
8306010,644387,80164778,186872
3303575,656829,80934680,105092
5766399,352912,57116067,56465
2581342,12304,51489565,3445
266930,865391,31562191,77885
3252074,633890,65635515,101422
9868577,635674,61798490,76280
6751806,811437,22030276,178516
1167954,604530,70974003,66498
5129607,667938,48005592,120228
7953744,137762,17753956,22041
4667901,698624,11724709,104793
5047845,635233,45222087,171512
1482456,597422,16846834,167278
3515601,428188,57497410,25691
7156955,139661,24831444,20949
9883735,987409,51044633,49370
1340659,989103,47344378,276948
2364696,33358,5514835,2668
5756934,177191,35793790,37210
9363005,113807,82194583,22761
4573864,462826,88804261,55539
8025450,981130,3589214,78490
9493285,415966,96315543,91512
4713636,46375,6930482,12521
533120,29664,54158861,8899
4993620,193472,4185547,34824
1143798,701810,15161862,112289
6883009,970082,16718081,271622
9926312,470488,45354783,94097
1783246,511659,84694657,153497
8682833,930046,46664657,83704
1982794,257771,50571054,69598
6369498,883285,92480126,141325
4160526,356085,12927598,99703
5885318,364944,50057023,58391
4564222,214299,51898092,45002
8159563,321312,24435638,38557
293777,21227,87750884,4457
455567,853955,95384792,59776
5568205,926695,18520330,213139
2701273,980716,44841672,196143
3043314,390910,84490719,62545
6810018,671599,3241634,87307
9213558,601775,81357530,168497
1027979,273166,30005209,38243
1617944,790939,15348043,150278
4052517,991811,97975973,178525
961983,821741,39704110,197217
1017500,118529,96240001,14223
8294975,690490,21157474,48334
325334,19577,87121163,1174
3902615,583215,84935633,145803
2743624,886703,88703584,266010
3606776,811559,26727483,235352
8139133,96988,83859504,21337
1828773,724290,83222431,115886
7065344,459348,25585446,91869
8576581,942944,78450549,207447
8111440,956023,8760379,181644
2219675,652458,92533887,91344
8523603,236264,42756841,68516
3727824,164486,86148645,29607
3725833,550058,79455642,82508
1991254,125038,15978807,22506
2919091,425446,59857108,106361
4444929,867419,59963522,147461
2942688,318307,75108518,15915
4645483,427755,13223980,47053
2774251,680567,77366037,81668
5762473,351391,61448585,105417
1763726,488594,31206980,97718
719407,840338,18422184,201681
2732554,216542,27348676,32481
9739763,189556,98482245,47389
4131790,322682,68361230,19360
4469274,669264,48334133,93696
3458796,12137,72167735,1820
3139185,206828,28170421,39297
7054006,816941,55479827,122541
4655892,796107,32616094,238832
2937285,251078,65055255,45194
1946177,882073,94741346,211697
7336989,123422,27649614,18513
9438944,37607,46509241,8649
6106974,292999,77206580,32229
1696455,409855,89371912,86069
5072773,453472,84280362,113368
7703635,390173,39847345,89739
4775474,453590,28741490,27215
2596937,53862,15428700,13465
5627671,569842,40920219,45587
6176290,945451,87947906,103999
2341252,74554,47737065,6709
2948138,860778,91064072,215194
1774908,920936,36895853,221024
3898543,298877,13018387,71730
280943,275628,44893565,49613
4214573,778712,81118407,132381
2635225,105364,6134567,23180
3585355,276213,45463545,24859
9960790,261325,8524367,26132
492960,909397,56415597,172785
1245057,712837,80912287,92668
1430042,498213,67774702,129535
1179148,413649,74012006,49637
6707201,793420,76183059,166618
9835868,762691,48208772,228807
5124492,523211,27921304,109874
6298013,151666,94828854,9099
5268798,239346,96165593,31114
844817,218283,57763544,37108
5174896,885404,84451097,247913
4396856,391561,7264571,70480
4871951,251563,37984972,30187
1610589,997540,33623105,169581
7985116,429286,88152429,81564
2687274,631132,39562013,113603
5232089,356076,53079284,78336
2059263,429920,21592239,38692
3448919,909795,31146545,63685
2878649,958927,10707183,287678
969608,183755,48987248,42263
5722434,672824,23403489,47097
1645567,709622,3076216,70962
2975443,433090,18500906,95279
4030108,526571,88479568,68454
2196660,81488,59238160,19557
6100158,186848,24788990,56054
6841552,954257,46094771,162223
7736666,739644,13077902,192307
1824018,961908,56226309,163524
8292527,482258,11199817,43403
1001854,465992,30783822,51259
9953665,426607,61547784,106651
8055202,144765,67951783,7238
6316109,116013,7898258,29003
2394004,924599,4477302,258887
375593,446247,25281756,89249
7291442,913327,28969396,164398
7239657,257402,66226721,74646
4544150,771610,91693720,108025
1458549,700711,97593050,196199
9165350,120382,22734341,12038
7192331,588322,78298717,170613
1971528,796267,16664057,127402
4026910,747925,82761938,37396
3946740,977679,58925429,254196
690978,698180,44115876,125672
4464238,354203,93714984,95634
426276,984006,10301314,59040
8156882,321524,72225319,93241
8611657,435762,43270758,78437
7695986,249672,4736983,74901
3335868,72490,66073746,11598
2745990,232045,40454459,67293
4085817,862044,81686417,146547
9173091,359661,63299968,21579
7358962,857721,17140814,171544
6046170,675862,22784159,101379
2804834,417726,85277452,29240
1400214,121473,55150443,7288
7465586,138806,9791023,26373
9222260,631896,18991039,50551
7281002,39001,9341145,8970
1359497,704376,30667998,162006
181459,131534,23859975,39460
5019998,697373,18664952,55789
3645279,34032,29637164,8508
9964565,83164,80157876,14137
3205704,957279,67558254,239319
6842310,362454,60288471,101487
4424148,893610,11333087,53616
4612247,113406,11430269,29485
3588743,908077,29055473,63565
1213751,837064,80727377,167412
4330503,658665,56835785,197599
5279738,439268,36408864,52712
6088682,404327,15844578,64692
3055080,208570,7111491,14599
5413630,146160,60132727,40924
7669484,312523,12774546,18751
4482213,469373,43143646,98568
5633163,229719,87364547,45943
6765094,712131,12438659,206517
7888777,275549,55142754,77153
550556,943416,62176430,273590
6171898,473697,34777602,108950
7601020,885871,34062517,168315
9724641,873600,71588280,253344
603529,177149,63129853,47830
7602574,649112,65244355,45437
7724478,789683,34381370,205317
